Sentence;Degree of Truth;Degree of Support;Degree of Focus
For almost no records in low depression, context_no_day_incoming_calls is low;0.26854683429606957;0.08176100628930817;0.22851153039832284
For some records in low depression, context_no_day_incoming_calls is low;0.39811983237059695;0.08176100628930817;0.22851153039832284
For almost no records in medium depression, context_no_day_incoming_calls is low;0.11598592361832215;0.040880503144654086;0.11215932914046121
For some records in medium depression, context_no_day_incoming_calls is low;0.5506807430483444;0.040880503144654086;0.11215932914046121
For almost no records in high depression, context_no_day_incoming_calls is low;0.2499999999999999;0.031446540880503145;0.10062893081761007
For some records in high depression, context_no_day_incoming_calls is low;0.41666666666666663;0.031446540880503145;0.10062893081761007
For some records in low depression, context_no_day_incoming_calls is medium;0.7795704594185936;0.10272536687631027;0.22851153039832284
For some records in medium depression, context_no_day_incoming_calls is medium;0.6858032932798532;0.0440251572327044;0.11215932914046121
For some records in high depression, context_no_day_incoming_calls is medium;1.0;0.041928721174004195;0.10062893081761007
For almost no records in low depression, context_no_day_incoming_calls is high;0.8000339789330616;0.07651991614255765;0.22851153039832284
For almost no records in medium depression, context_no_day_incoming_calls is high;0.8778371161548731;0.029350104821802937;0.11215932914046121
For almost no records in high depression, context_no_day_incoming_calls is high;0.8965517241379309;0.0220125786163522;0.10062893081761007
For almost no records in low depression, context_avg_day_duration_incoming is low;0.4045574264885492;0.09643605870020965;0.22851153039832284
For some records in low depression, context_avg_day_duration_incoming is low;0.2621092401781174;0.09643605870020965;0.22851153039832284
For almost no records in medium depression, context_avg_day_duration_incoming is low;0.37496302817155147;0.0429769392033543;0.11215932914046121
For some records in medium depression, context_avg_day_duration_incoming is low;0.29170363849511505;0.0429769392033543;0.11215932914046121
For almost no records in high depression, context_avg_day_duration_incoming is low;0.9304301809153759;0.025157232704402517;0.10062893081761007
For almost no records in low depression, context_avg_day_duration_incoming is medium;0.798845977283118;0.09748427672955975;0.22851153039832284
For almost no records in medium depression, context_avg_day_duration_incoming is medium;0.8605604437637768;0.0429769392033543;0.11215932914046121
For almost no records in high depression, context_avg_day_duration_incoming is medium;0.9616985865409874;0.03249475890985325;0.10062893081761007
For almost no records in low depression, context_avg_day_duration_incoming is high;1.0;0.07127882599580712;0.22851153039832284
For almost no records in medium depression, context_avg_day_duration_incoming is high;1.0;0.03039832285115304;0.11215932914046121
For almost no records in high depression, context_avg_day_duration_incoming is high;0.7544247098392153;0.031446540880503145;0.10062893081761007
For almost no records in low depression, context_stddev_duration_incoming is low;0.950585990498159;0.06708595387840671;0.22851153039832284
For almost no records in medium depression, context_stddev_duration_incoming is low;1.0;0.02830188679245283;0.11215932914046121
For almost no records in high depression, context_stddev_duration_incoming is low;1.0;0.012578616352201259;0.10062893081761007
